name:Site	Station	StationName	Date_Start	Date_End	Date_Latest
CAP	09510000	VERDE~RIVER~BLW~BARTLETT~DAM	1904-01-01	2013-10-23	2013-10-25
CAP	09510200	SYCAMORE~CREEK	1960-10-01	2013-10-23	2013-10-25
CAP	09511300	VERDE~RIVER~NR~SCOTTSDALE~BELOW~SYCAMORE~CREEK~	1961-02-13	2013-10-23	2013-10-25
CAS	ARF	ARF~Temperature~Station	1988-12-05	2005-07-31	2011-04-20
CAS	NFC408	North~Fork~Caspar~Creek~408~Precipitation~Station	1962-08-01	2005-06-18	2011-04-20
CAS	NFC620	North~Fork~Caspar~Creek~620~Precipitation~Station	1985-11-24	2005-07-09	2011-04-20
CAS	SFC620	South~Fork~Caspar~Creek~620~Precipitation~Station	1986-08-15	2005-07-09	2011-04-20
CAS	NFC	North~Fork~Caspar~Creek	1995-08-01	2005-07-27	2011-04-20
CAS	SFC	South~Fork~Caspar~Creek	1985-08-01	2005-07-31	2011-04-20
CCE	Lindbergh	Lindbergh~NOAA~NESDIS~Climate~Station	1927-01-01	2013-08-21	2013-08-28
CDR	CC2	Cedar~Creek~2	1982-01-01	2012-12-17	2012-12-17
CWT	CS01	Climate~Station~01	1937-01-01	2012-12-31	2013-01-25
CWT	Bryson	Tuckasegee~River~at~Bryson~City~NC~(USGS~03513000)	1897-10-01	2013-10-24	2013-10-25
CWT	Catalooche	Cataloochee~Creek~near~Cataloochee~NC~(USGS~03460000)	1934-04-01	2013-10-24	2013-10-25
CWT	Logan	Second~Broad~River~Near~Logan~NC~(USGS~02150495)	1998-10-01	2013-10-24	2013-10-25
CWT	Needmore	Little~Tennessee~River~at~Needmore~NC~(USGS~03503000)	1944-06-01	2013-10-24	2013-10-25
CWT	Prentiss	Little~Tennessee~River~near~Prentiss~NC~(USGS~03500000)	1944-04-01	2013-10-24	2013-10-25
CWT	WS18	Flume~at~Watershed~18	1936-11-01	2010-10-31	2011-06-17
CWT	WS27	Flume~at~Watershed~27	1946-11-01	2010-10-31	2011-06-17
FCE	Everglades	Everglades~NOAA	1924-02-01	2013-09-30	2013-10-30
FCE	FlamingoRS	Flamingo~Ranger~Station~NOAA	1951-01-01	2013-09-30	2013-10-30
FCE	MIA	Miami~Internation~Airport~NOAA	1948-01-01	2013-10-27	2013-10-30
FCE	RoyalPalmR	Royal~Palm~Ranger~Station~NOAA	1949-05-01	2013-09-30	2013-10-30
FCE	Tavernier	Tavernier~NOAA	1948-03-01	2009-05-31	2009-10-10
FCE	C111_S18C	CANAL_111_S-18-C_FLORIDACITY~(USGS~2290769)	1968-10-01	2013-08-15	2013-08-16
FCE	LEVEE31_1	LEVEE_31_NORTH_EXT_AT_1MILE_WESTMIAMI~(USGS~22907647)	1988-11-07	2013-08-15	2013-08-16
FCE	LEVEE31_3	LEVEE_31_NORTH_EXT_AT_3MILE_WESTMIAMI~~(USGS~2290765)	1992-03-01	2013-08-15	2013-08-16
FCE	LEVEE31_4	LEVEE_31_NORTH_EXT_AT_4MILE_WESTMIAMI~(USGS~2290766)	1994-06-11	2013-08-15	2013-08-16
FCE	LEVEE31_5	LEVEE_31_NORTH_EXT_AT_5MILE_WESTMIAMI~(USGS~2290767)	1994-06-16	2013-08-15	2013-08-16
FCE	LEVEE31_7	LEVEE_31_NORTH_EXT_AT_7MILE_WESTMIAMI~(USGS~2290768)	1994-06-16	2013-08-15	2013-08-16
FCE	TAM_S12A	TAMIAMI_CANAL_AT_S-12-A~(USGS~254543080491101)	1963-10-01	2013-08-15	2013-08-16
FCE	TAM_S12B	TAMIAMI_CANAL_AT_S-12-B~(USGS~2289019)	1963-04-26	2013-08-15	2013-08-16
FCE	TAM_S12C	TAMIAMI_CANAL_BELOW_S-12-C~(USGS~2289041)	1963-10-01	2013-08-15	2013-08-16
FCE	TAM_S12D	TAMIAMI_CANAL_AT_S-12-D~(USGS~254543080405401)	1963-10-01	2013-08-15	2013-08-16
FCE	WELLFIELD	NW_WELLFIELD_CANAL_NR_DADE_BROWARD_LEVEE_NR_PENN~(USGS~2287497)	1991-02-06	2013-08-15	2013-08-16
FER	STATIONB	Camp~Hollow~Station~B	1951-08-01	2008-01-14	2008-11-07
FER	WS1	Watershed~1	1951-05-01	2007-12-31	2008-11-07
FER	WS2	Watershed~2	1951-05-01	2007-12-31	2008-11-07
FER	WS3	Watershed~3	1951-05-01	2007-12-31	2008-11-07
FER	WS4	Watershed~4	1951-05-01	2007-12-31	2008-11-07
FER	WS5	Watershed~5	1951-05-01	2007-12-31	2008-11-07
FER	WS6	Watershed~6	1956-11-01	2007-12-31	2008-11-07
FER	WS7	Watershed~7	1956-11-01	2007-12-31	2008-11-07
FLE	FC1F	FC1F	1972-11-03	1991-01-23	2002-04-15
FLE	FC2F	FC2F	1972-11-08	1991-06-11	2002-04-15
FLE	FC3F	FC3F	1972-11-03	1991-06-18	2002-04-15
FLE	FC4F	FC4F	1972-11-03	1991-04-13	2002-04-15
FRA	HQ3	Headquarters	1976-01-01	2001-12-31	2004-03-25
FRA	ELOUI	East~St.~Louis~Creek	1943-03-31	1985-09-30	2002-01-11
FRA	LFADJ	Lower~Fool~Creek	1940-03-19	1985-09-30	2002-01-11
GCE	Baxley	Baxley~(NWS)	2004-06-01	2013-05-27	2013-05-29
GCE	Brunswick	Brunswick~~(NWS)~	1895-02-01	2013-05-27	2013-05-29
GCE	Glennville	Glennville~~(NWS)	1904-11-01	2013-04-30	2013-05-29
GCE	HUDSONCRK	Hudson~Creek	2001-05-29	2013-10-14	2013-10-14
GCE	Jesup	Jesup~~(NWS)	1956-12-01	2013-04-30	2013-05-29
GCE	ML	Marsh~landiing	2002-07-08	2013-10-01	2013-10-14
GCE	UGAMI	University~of~Georiga~Marine~Institute~Met~Station	1957-05-01	2013-10-12	2013-10-14
GCE	Alt_Baxley	Alt_Baxley~~(USGS~02225000)~	1949-08-14	2013-10-24	2013-10-25
GCE	DOCTORTOWN	Doctor~Town~(USGS)	1931-10-01	2013-10-24	2013-10-25
GCE	Ocmulgee	Ocmulgee~(USGS~02215500)~	1936-10-01	2013-10-24	2013-10-25
GCE	Oconee	Oconee~~(USGS~02223500)~	1897-10-01	2013-10-24	2013-10-25
GCE	Ohoopee	Ohoopee~~(USGS~02225500)~	1903-06-24	2013-10-24	2013-10-25
GRE	PH	Power~Plant	1940-04-01	1964-01-31	2002-01-24
HBR	WEASTA_1	Weather~Station~1	1955-10-20	2011-12-31	2012-06-13
HBR	WEASTA_14	Weather~Station~14	1965-01-01	2011-12-31	2012-06-13
HBR	WEASTA_17	Weather~Station~17	1999-01-01	2011-12-31	2012-06-13
HBR	WEASTA_1A	Weather~Station~1A	1958-01-01	2011-12-31	2012-06-13
HBR	WEASTA_23	Weather~Station~23	1995-09-01	2011-12-31	2012-06-13
HBR	WEASTA_24	Weather~Station~24	1999-01-01	2011-12-31	2012-06-13
HBR	WEASTA_6	Weather~Station~6	1961-01-01	2011-12-31	2012-06-13
HBR	WEASTA_HQ	Weather~Station~HQ	1957-01-01	2011-12-31	2012-06-13
HBR	WS1P	Watershed~1~Precipitation	1956-01-01	2011-12-31	2012-05-22
HBR	WS2P	Watershed~2~Precipitation	1957-01-01	2011-12-31	2012-05-22
HBR	WS3P	Watershed~3~Precipitation	1957-10-01	2011-12-31	2012-05-22
HBR	WS4P	Watershed~4~Precipitation	1960-01-01	2011-12-31	2012-05-22
HBR	WS5P	Watershed~5~Precipitation	1962-01-01	2011-12-31	2012-05-22
HBR	WS6P	Watershed~6~Precipitation	1963-01-01	2011-12-31	2012-05-22
HBR	WS7P	Watershed~7~Precipitation	1965-01-01	2011-12-31	2012-05-22
HBR	WS8P	Watershed~8~Precipitation	1968-05-01	2011-12-31	2012-05-22
HBR	WS9P	Watershed~9~Precipitation	1995-01-01	2011-12-31	2012-05-22
HBR	GSWS1	Watershed~1	1956-01-01	2011-12-31	2012-06-14
HBR	GSWS2	Watershed~2	1957-01-01	2011-12-31	2012-06-14
HBR	GSWS3	Watershed~3	1957-10-01	2011-12-31	2012-06-14
HBR	GSWS4	Watershed~4	1960-01-01	2011-12-31	2012-06-14
HBR	GSWS5	Watershed~5	1962-01-01	2011-12-31	2012-06-14
HBR	GSWS6	Watershed~6	1963-01-01	2011-12-31	2012-06-14
HBR	GSWS7	Watershed~7	1965-01-01	2011-12-31	2012-06-14
HBR	GSWS8	Watershed~8	1968-05-01	2011-12-31	2012-06-14
HBR	GSWS9	Watershed~9	1995-01-01	2011-12-31	2012-06-14
HFR	Fisher	Fisher~Meteorological~Station	2001-02-11	2013-10-31	2013-11-08
HFR	Shaler	Shaler~Meteorological~Station~	1964-01-01	2002-06-30	2002-07-01
HFR	Bigelow_L	Bigelow~Brook~Lower~Watershed	2007-12-21	2013-10-29	2013-11-08
HFR	Bigelow_U	Bigelow~Brook~Upper~Watershed	2007-12-21	2013-10-29	2013-11-08
HFR	Nelson	Nelson~Brook~Stream~Gage	2007-12-21	2013-10-29	2013-11-08
HOR	EAST300	East_300	1965-10-01	1988-09-30	2002-02-08
HOR	MAIN200	Main_200	1965-10-01	1988-09-30	2002-02-08
JRN	JERHQWS	USDA~ARS~Jornada~Experimental~Range~ranch~headquarters~weather~station	1914-06-01	2010-12-31	2013-11-05
JRN	LTERWS	LTER~Weather~Station	1983-03-01	2011-12-31	2013-11-05
KBS	GULLAKE	Gull~Lake~Biological~Station~COOP~(NWS)	1948-01-01	2013-09-30	2013-11-05
KBS	KZOOHSP	Kalamazoo~Hospital~NWS~Station	1887-06-01	1987-04-30	2013-11-05
KBS	LTERWS	LTER~Weather~Station~(synthetic~weather~record)	1988-01-01	2013-11-05	2013-11-05
KBS	Augusta	Augusta~Creek~Near~Augusta~MI~(USGS)	1964-10-01	2013-10-24	2013-10-25
KBS	KzooComst	Kalamazoo~River~at~Comstock~MI~(USGS)	1931-04-24	2013-10-24	2013-10-25
KEW	bullM20	Lower~Bull~Met~Station	2004-10-01	2011-09-30	2012-12-05
KEW	provM10	Lower~Providence~Met~Station	2003-10-01	2011-09-30	2012-12-05
KEW	ubullM25	Upper~Bull~Met~Station	2004-10-01	2011-09-30	2012-12-05
KEW	uprovM15	Upper~Providence~Met~Station	2003-10-01	2011-09-30	2012-12-05
KEW	B201	Bull~Creek~B201	2003-10-01	2010-09-30	2012-02-16
KEW	B203	Bull~Creek~B203	2003-10-01	2010-09-30	2012-02-16
KEW	B204	Bull~Creek~204	2003-10-01	2010-09-30	2012-02-16
KEW	D102	Duff~Creek~102	2003-10-01	2010-09-30	2012-02-16
KEW	P301	Providence~Creek~301	2003-10-01	2010-09-30	2012-02-16
KEW	P303	Providence~Creek~303	2003-10-01	2010-09-30	2012-02-16
KEW	P304	Providence~Creek~304	2003-10-01	2010-09-30	2012-02-16
KEW	T003	Teakettle~Creek~003~	2003-10-01	2010-09-30	2012-02-16
KNZ	HQ1MET	Konza~Headquarters~	1982-04-22	2013-08-03	2013-08-04
KNZ	06879650	Kings~Creek~(USGS)	1979-04-01	2013-10-24	2013-10-25
KNZ	N01B	N01B	1987-01-01	2004-12-31	2006-08-17
KNZ	N02B	N02B	1987-01-01	2004-12-31	2006-08-17
KNZ	N04D	N04D	1985-01-01	2004-12-31	2006-08-17
KNZ	N20B	N20B	1987-01-01	2004-12-31	2006-08-17
LHC	LHC4	Lienhuachih~natural~forest	2008-01-01	2009-09-30	2009-12-01
LHC	LHC5	Lienhuachih~artificial~forest	2008-01-01	2009-09-30	2009-12-01
LHC	LHCFDP	Lienhuachih~Forest~Dynamic~Plot	2009-06-13	2009-11-30	2009-12-01
LUQ	BisleyMet	Bisley~Tower	1993-02-11	2010-11-12	2012-09-30
LUQ	ELVERDE	El~Verde~Log	1975-01-01	2013-09-30	2013-10-28
LUQ	EVFSTower	El~Verde~Tower	2000-04-26	2005-03-18	2005-07-28
LUQ	ES50063800	RIO~ESPIRITU~SANTO~(USGS)	1966-08-01	2013-10-24	2013-10-25
LUQ	QG50074950	QUEBRADA~GUABA~(USGS)	1992-06-23	2012-05-08	2013-10-25
LUQ	QS50063440	QUEBRADA~SONADORA~(USGS)	1983-03-30	2013-10-24	2013-10-25
LUQ	RG50064200	RIO~GRANDE~(USGS)	1967-05-09	2013-10-24	2013-10-25
LUQ	RI50075000	RIO~ICACOS~(USGS)	1945-07-01	2013-10-24	2013-10-25
LUQ	RM50065500	RIO~MAMEYES~NR~SABANA~(USGS)	1967-08-01	2013-10-24	2013-10-25
LUQ	RM50066000	RIO~MAMEYES~AT~MAMEYES~(USGS)	1997-07-24	2009-03-17	2010-06-18
LUQ	RS50067000	RIO~SABANA~(USGS)	1979-10-01	2013-10-24	2013-10-25
MAR	S2-BOG-MS	South~Unit~Bog~Site~Watershed~S2	1989-06-22	2012-03-31	2012-04-09
MAR	S2-UP-MS	South~Unit~Upland~Watershed~S2	1961-01-01	2012-03-31	2012-04-09
MAR	S5-UP-MS	North~Unit~Upland~Watershed~S5	1962-01-01	2012-03-31	2012-04-09
MAR	S2-ALL	Total~runoff~of~South~Unit~Watershed~S2~weir	1961-03-01	2007-02-28	2008-08-14
MAR	S2-BOG	Bog~runoff~component~of~South~Unit~Watershed~S2~weir	1961-03-01	2007-02-28	2008-08-14
MAR	S2-UP	Upland~runoff~component~of~South~Unit~Watershed~S2~weir	1961-03-01	2007-02-28	2008-08-14
MAR	S4-ALL	Total~runoff~of~North~Unit~Watershed~S4~weirs~(sum~of~S4-N~and~S4-S~weirs)	1962-03-01	2007-02-28	2008-08-14
MAR	S4-BOG	Bog~runoff~component~of~North~Unit~Watershed~S4~weirs~(sum~of~S4-N~and~S4-S~weirs)	1962-03-01	2007-02-28	2008-08-14
MAR	S4-UP	Upland~runoff~component~of~North~Unit~Watershed~S4~weirs~(sum~of~S4-N~and~S4-S~weirs)	1962-03-01	2007-02-28	2008-08-14
MAR	S5-ALL	Total~runoff~of~North~Unit~Watershed~S5~weir	1962-03-01	2007-02-28	2008-08-14
MAR	S5-BOG	Bog~runoff~component~of~North~Unit~Watershed~S5~weir	1962-03-01	2007-02-28	2008-08-14
MAR	S5-UP	Upland~runoff~component~of~North~Unit~Watershed~S5~weir	1962-03-01	2007-02-28	2008-08-14
MAR	S6-ALL	Total~runoff~Watershed~S6~weir	1964-03-01	2007-02-28	2008-08-14
MAR	S6-BOG	Bog~runoff~component~of~Watershed~S6~weir	1964-03-01	2007-02-28	2008-08-14
MAR	S6-UP	Upland~runoff~component~of~Watershed~S6~weir	1964-03-01	2007-02-28	2008-08-14
MCM	BENM	Beacon~Valley	2000-11-27	2009-11-20	2012-12-11
MCM	BOYM	Lake~Bonney	1993-11-24	2011-01-21	2012-12-11
MCM	BRHM	Lake~Brownworth	1993-12-12	2010-11-19	2012-12-11
MCM	CAAM	Canada~Glacier	1993-12-12	2011-01-26	2012-12-11
MCM	COHM	Commonwealth~Glacier	1993-11-22	2011-01-19	2012-12-11
MCM	EXEM	Explorers~Cove	1997-11-21	2011-01-05	2012-12-11
MCM	FRLM	Lake~Fryxell	1993-12-07	2010-12-23	2012-12-11
MCM	HODM	Howard~Glacier	1993-11-20	2009-01-15	2012-12-11
MCM	HOEM	Lake~Hoare	1987-11-11	2010-01-26	2012-12-11
MCM	TARM	Taylor~Glacier	1994-11-21	2009-11-18	2012-12-11
MCM	VAAM	Lake~Vanda	1994-11-24	2009-11-20	2012-12-11
MCM	VIAM	Lake~Vida	1995-11-24	2009-12-01	2012-12-11
MCM	aiken_f5	Aiken~Creek	1990-12-04	2011-01-25	2012-12-11
MCM	andrsn_h1	Andersen~Creek	1993-11-20	2011-01-26	2012-12-11
MCM	canada_f1	Canada~Stream	1990-11-24	2011-02-09	2012-12-11
MCM	common_c1	Commonwealth~Stream	1993-11-30	2011-02-21	2012-12-11
MCM	cresc_f8	Crescent~Stream	1990-12-07	2011-02-03	2012-12-11
MCM	delta_f10	Delta~Stream	1990-12-07	2011-02-02	2012-12-11
MCM	green_f9	Green~Creek	1990-11-24	2011-01-28	2012-12-11
MCM	harnish_f7	Harnish~Creek~(F7)	1993-12-12	2011-01-29	2012-12-11
MCM	house_h2	House~Stream	1993-11-21	2011-01-24	2012-12-11
MCM	huey_f2	Huey~Creak	1990-12-04	2011-01-19	2012-12-11
MCM	lawson_b3	Lawson~Creek	1994-12-06	2010-02-15	2012-12-11
MCM	lostsl_f3	Lost~Seal~Stream	1990-12-08	2011-02-10	2012-12-11
MCM	onyx_lw	Onyx~at~Lower~Wright	1972-12-04	2011-01-09	2012-12-11
MCM	onyx_vnda	Onyx~River~at~Vanda	1969-12-05	2012-01-30	2012-12-11
MCM	priscu_b1	Priscu~Stream	1993-12-06	2011-01-18	2012-12-11
MCM	santafe_b2	Santa~Fe~Stream	1993-11-13	2011-12-12	2012-12-11
MCM	vguer_f6	Von~Guerard~Stream	1990-12-05	2011-02-08	2012-12-11
MCR	GUMPM	Gump~Meteorological~Station	2008-09-16	2011-12-21	2011-12-22
MEF	HOLLIS	Hollis~Meteorological~Station	1949-05-01	1963-09-30	2003-10-14
MEF	MAYBESO	Maybeso~Gauging~Station	1949-05-01	1963-09-30	2003-10-14
NEV	BISCUIT	Biscuit~Brook~(USGS~01434025)	1983-06-08	2013-10-24	2013-10-25
NEV	NEVERSINK	Neversink~(USGS~01435000)	1937-11-01	2013-10-24	2013-10-25
NTL	AIRPORTWOO	Noble~F.~Lee~Municipal~airport~north~of~Minocqua	1989-01-01	2012-12-31	2013-08-06
NTL	MADISON01	Madison~raw~climate~data	1869-01-01	2002-05-31	2003-05-01
NTL	MADISON01A	Madison~adjusted~climate~data	1869-01-01	2012-12-31	2013-06-27
NTL	MINOCQUA	MINOCQUA	1978-01-01	2012-12-31	2013-04-29
NTL	05357215	ALLEQUASH~CREEK~AT~CTH~M~NR~BOULDER~JUNCTION~WI~(USGS)	1991-05-29	2013-10-24	2013-10-25
NTL	05357225	STEVENSON~CREEK~AT~CTH~M~NR~BOULDER~JUNCTION~WI~(USGS)	1991-05-01	2013-10-24	2013-10-25
NTL	05357230	NORTH~CREEK~@~TROUT~LAKE~NR~BOULDER~JUNCTION~WI~(USGS)	1991-07-22	2013-02-19	2013-07-19
NTL	05357245	TROUT~RIVER~@~TROUT~LAKE~NR~BOULDER~JUNCTION~WI~(USGS)	1991-05-01	2013-10-23	2013-10-25
NTL	05427718	YAHARA~RIVER~AT~WINDSOR~WI~(USGS)	1976-02-01	2013-10-25	2013-10-25
NTL	05427948	PHEASANT~BRANCH~AT~MIDDLETON~WI~(USGS)	1974-07-01	2013-10-24	2013-10-25
NTL	05427965	SPRING~HARBOR~STORM~SEWER~AT~MADISON~WI~(USGS)	1976-02-23	2013-10-23	2013-10-25
NWT	C1	C-1~Meterological~Station	1952-10-01	2012-12-31	2013-07-07
NWT	D1	D-1~Meterological~Station	1952-10-01	2012-12-31	2013-07-07
NWT	SADDLE	SADDLE	1981-07-09	2012-12-31	2013-07-07
NWT	ALBION	Albion~Townsite	2003-10-27	2010-12-15	2012-01-04
NWT	GL4	Green~Lakes~4	1981-06-12	2010-09-30	2011-12-14
OLY	Forks_1E	Forks~1~E~(452914)~	1907-11-01	2013-05-31	2013-10-05
OLY	Hoh_Rs	Hoh~Rs~(453710)~	2004-08-01	2013-05-31	2013-10-05
OLY	Quillay_AP	Quillayute~State~Airport~(456858)~	1966-08-01	2013-05-31	2013-10-05
OLY	Calawah_R	Calawah~river~(USGS~12043000)	1976-01-01	2013-10-23	2013-10-25
OLY	Hoh_R	Hoh~river~(USGS~12041200)	1960-10-01	2013-10-23	2013-10-25
OLY	Hoko_R	Hoko~river~(USGS~12043300)	1962-08-01	2013-10-23	2013-10-25
OLY	Queets_R	Queets~river~(USGS~12040500)	1930-10-01	2013-10-23	2013-10-25
OLY	Quinault_R	Quinault~river~(USGS~12039500)	1911-10-01	2013-10-23	2013-10-25
PAL	PALOBS	Palmer~Meteorological~Station	1989-04-01	2013-04-30	2013-06-04
PIE	GDA	Governor~Dummer	2000-03-27	2007-07-30	2009-12-29
PIE	LOG	Boston~Logan~International~Airport~Boston~MA	1920-01-01	2013-08-31	2013-09-20
PIE	MFM	Marshview~Farm~Field~Station	2007-07-31	2012-12-31	2013-09-20
PIE	IP1101500	Ipswich~River~at~South~Middleton~MA~(USGS)	1938-06-01	2013-09-19	2013-09-20
PIE	IP1102000	Ipswich~River~near~Ipswich~MA~(USGS)	1930-06-17	2013-10-24	2013-10-25
PIE	PR1101000	Parker~River~at~Byefield~MA~(USGS)	1945-10-26	2013-10-24	2013-10-25
