FRACHOURS, 2SIGMALO, 2SIGMAHI, 3SIGMALO, 3SIGMAHI, 4SIGMALO, 4SIGMAHI
4.83,2.29,7.61,0.96,8.94,-0.37,10.27
4.88,2.27,7.56,0.95,8.88,-0.37,10.2
4.92,2.26,7.51,0.95,8.83,-0.37,10.14
4.96,2.25,7.47,0.94,8.78,-0.36,10.08
5.0,2.23,7.46,0.93,8.77,-0.38,10.07
5.04,2.22,7.43,0.92,8.73,-0.38,10.03
5.08,2.2,7.41,0.89,8.71,-0.41,10.01
5.13,2.18,7.37,0.89,8.67,-0.41,9.97
5.17,2.16,7.36,0.87,8.66,-0.43,9.95
5.21,2.16,7.34,0.86,8.63,-0.43,9.93
5.25,2.15,7.33,0.85,8.62,-0.44,9.92
5.29,2.12,7.31,0.82,8.61,-0.47,9.91
5.33,2.1,7.32,0.8,8.63,-0.51,9.93
5.38,2.1,7.32,0.8,8.62,-0.5,9.92
5.42,2.1,7.36,0.78,8.68,-0.53,10
5.46,2.14,7.44,0.81,8.76,-0.51,10.09
5.5,2.25,7.5,0.94,8.81,-0.37,10.13
5.54,2.38,7.58,1.09,8.88,-0.21,10.18
5.58,2.45,7.66,1.14,8.96,-0.16,10.26
5.63,2.45,7.75,1.13,9.07,-0.19,10.39
5.67,2.46,7.77,1.13,9.1,-0.2,10.43
5.71,2.46,7.75,1.14,9.07,-0.19,10.4
5.75,2.46,7.68,1.15,8.98,-0.15,10.29
5.79,2.46,7.63,1.17,8.92,-0.13,10.21
5.83,2.45,7.55,1.17,8.82,-0.1,10.1
5.88,2.44,7.5,1.17,8.77,-0.09,10.03
5.92,2.43,7.45,1.17,8.71,-0.08,9.96
5.96,2.42,7.41,1.18,8.65,-0.07,9.9
6.0,2.41,7.39,1.17,8.63,-0.08,9.88
6.04,2.4,7.36,1.17,8.59,-0.07,9.83
6.08,2.37,7.34,1.13,8.58,-0.11,9.82
6.13,2.36,7.31,1.13,8.54,-0.11,9.78
6.17,2.34,7.29,1.11,8.53,-0.13,9.77
6.21,2.34,7.28,1.1,8.51,-0.14,9.75
6.25,2.32,7.28,1.09,8.51,-0.15,9.75
6.29,2.29,7.27,1.05,8.51,-0.2,9.76
6.33,2.27,7.28,1.02,8.53,-0.23,9.79
6.38,2.26,7.28,1.01,8.54,-0.25,9.79
6.42,2.26,7.34,0.99,8.61,-0.28,9.88
6.46,2.28,7.42,1,8.7,-0.29,9.98
6.5,2.39,7.49,1.11,8.77,-0.16,10.04
6.54,2.51,7.57,1.25,8.83,-0.02,10.1
6.58,2.58,7.64,1.31,8.91,0.04,10.18
6.63,2.58,7.73,1.29,9.02,0.01,10.3
6.67,2.59,7.75,1.3,9.04,0.01,10.34
6.71,2.59,7.73,1.3,9.02,0.02,10.3
6.75,2.59,7.66,1.32,8.93,0.06,10.19
6.79,2.59,7.61,1.34,8.86,0.09,10.11
6.83,2.58,7.53,1.34,8.77,0.11,10.01
6.88,2.57,7.49,1.34,8.72,0.11,9.94
6.92,2.56,7.44,1.34,8.66,0.12,9.87
6.96,2.56,7.39,1.35,8.59,0.14,9.8
7.0,2.55,7.37,1.34,8.57,0.14,9.78
7.04,2.54,7.33,1.34,8.53,0.14,9.73
7.08,2.51,7.31,1.31,8.51,0.11,9.71
7.13,2.5,7.28,1.31,8.47,0.11,9.66
7.17,2.48,7.26,1.29,8.46,0.09,9.65
7.21,2.47,7.24,1.28,8.43,0.09,9.62
7.25,2.46,7.23,1.27,8.42,0.08,9.62
7.29,2.43,7.23,1.23,8.42,0.03,9.62
7.33,2.41,7.23,1.21,8.43,0,9.64
7.38,2.4,7.23,1.19,8.44,-0.02,9.65
7.42,2.39,7.29,1.17,8.51,-0.05,9.73
7.46,2.41,7.37,1.18,8.61,-0.06,9.85
7.5,2.52,7.45,1.29,8.68,0.06,9.91
7.54,2.64,7.52,1.42,8.74,0.2,9.96
7.58,2.7,7.6,1.47,8.83,0.25,10.05
7.63,2.7,7.68,1.46,8.93,0.21,10.18
7.67,2.7,7.71,1.45,8.97,0.19,10.22
7.71,2.68,7.7,1.43,8.95,0.18,10.21
7.75,2.68,7.63,1.45,8.87,0.21,10.11
7.79,2.68,7.58,1.46,8.81,0.23,10.03
7.83,2.66,7.52,1.45,8.73,0.24,9.94
7.88,2.65,7.48,1.44,8.68,0.24,9.89
7.92,2.64,7.43,1.44,8.63,0.25,9.82
7.96,2.64,7.38,1.46,8.57,0.27,9.75
8.0,2.63,7.36,1.45,8.55,0.26,9.73
8.04,2.63,7.33,1.45,8.5,0.28,9.68
8.08,2.6,7.31,1.43,8.48,0.25,9.66
8.13,2.6,7.28,1.43,8.45,0.26,9.62
8.17,2.58,7.26,1.41,8.43,0.24,9.6
8.21,2.58,7.24,1.42,8.41,0.25,9.57
8.25,2.58,7.23,1.41,8.4,0.25,9.56
8.29,2.55,7.23,1.38,8.4,0.21,9.57
8.33,2.54,7.23,1.36,8.41,0.19,9.58
8.38,2.53,7.24,1.35,8.41,0.18,9.59
8.42,2.52,7.29,1.33,8.49,0.14,9.68
8.46,2.54,7.38,1.33,8.59,0.12,9.8
8.5,2.64,7.46,1.44,8.67,0.23,9.87
8.54,2.76,7.54,1.56,8.74,0.37,9.93
8.58,2.81,7.62,1.61,8.82,0.41,10.02
8.63,2.82,7.7,1.6,8.92,0.38,10.14
8.67,2.82,7.72,1.59,8.95,0.36,10.17
8.71,2.8,7.7,1.58,8.93,0.35,10.16
8.75,2.8,7.64,1.59,8.85,0.38,10.06
8.79,2.79,7.59,1.6,8.79,0.4,9.99
8.83,2.77,7.53,1.58,8.72,0.39,9.91
8.88,2.75,7.49,1.57,8.68,0.39,9.86
8.92,2.74,7.45,1.57,8.62,0.39,9.8
8.96,2.74,7.4,1.58,8.57,0.41,9.74
9.0,2.73,7.38,1.57,8.55,0.4,9.71
9.04,2.72,7.35,1.57,8.51,0.41,9.67
9.08,2.7,7.33,1.54,8.49,0.38,9.65
9.13,2.69,7.3,1.54,8.45,0.38,9.61
9.17,2.67,7.29,1.52,8.44,0.37,9.6
9.21,2.67,7.27,1.52,8.42,0.37,9.58
9.25,2.66,7.28,1.5,8.43,0.35,9.59
9.29,2.63,7.27,1.47,8.43,0.31,9.59
9.33,2.63,7.27,1.47,8.43,0.31,9.59
9.38,2.63,7.27,1.47,8.43,0.31,9.59
9.42,2.63,7.32,1.46,8.49,0.29,9.66
9.46,2.65,7.41,1.45,8.6,0.26,9.8
9.5,2.75,7.49,1.56,8.67,0.38,9.86
9.54,2.86,7.57,1.68,8.74,0.51,9.92
9.58,2.92,7.64,1.74,8.82,0.57,10
9.63,2.94,7.7,1.75,8.89,0.56,10.08
9.67,2.95,7.71,1.77,8.9,0.58,10.08
9.71,2.95,7.68,1.77,8.86,0.58,10.05
9.75,2.94,7.62,1.77,8.79,0.6,9.96
9.79,2.93,7.57,1.77,8.73,0.61,9.89
9.83,2.91,7.51,1.76,8.66,0.61,9.81
9.88,2.89,7.47,1.74,8.62,0.6,9.77
9.92,2.88,7.43,1.74,8.56,0.61,9.7
9.96,2.87,7.39,1.74,8.51,0.61,9.64
10.0,2.86,7.36,1.74,8.48,0.61,9.61
10.04,2.85,7.33,1.73,8.45,0.61,9.57
10.08,2.83,7.3,1.71,8.42,0.59,9.54
10.13,2.81,7.27,1.69,8.39,0.57,9.51
10.17,2.79,7.26,1.67,8.37,0.55,9.49
10.21,2.78,7.24,1.66,8.36,0.55,9.47
10.25,2.76,7.24,1.64,8.36,0.52,9.48
10.29,2.73,7.24,1.6,8.36,0.47,9.49
10.33,2.72,7.23,1.59,8.36,0.46,9.49
10.38,2.72,7.23,1.59,8.36,0.47,9.49
10.42,2.72,7.28,1.59,8.41,0.45,9.55
10.46,2.74,7.38,1.58,8.54,0.42,9.69
10.5,2.83,7.46,1.67,8.62,0.52,9.77
10.54,2.93,7.55,1.78,8.71,0.62,9.86
10.58,2.99,7.63,1.82,8.8,0.66,9.96
10.63,3.01,7.7,1.83,8.87,0.66,10.05
10.67,3.03,7.7,1.86,8.87,0.69,10.04
10.71,3.02,7.67,1.86,8.84,0.7,10
10.75,3.02,7.6,1.88,8.75,0.73,9.89
10.79,3.02,7.56,1.88,8.7,0.74,9.83
10.83,3,7.49,1.88,8.62,0.76,9.74
10.88,2.99,7.46,1.87,8.57,0.75,9.69
10.92,2.98,7.41,1.88,8.51,0.77,9.62
10.96,2.98,7.37,1.88,8.47,0.78,9.56
11.0,2.97,7.35,1.87,8.44,0.78,9.54
11.04,2.95,7.32,1.86,8.41,0.77,9.5
11.08,2.92,7.3,1.83,8.39,0.74,9.48
11.13,2.9,7.27,1.8,8.36,0.71,9.46
11.17,2.87,7.25,1.78,8.35,0.68,9.44
11.21,2.86,7.23,1.77,8.33,0.68,9.42
11.25,2.84,7.23,1.75,8.33,0.65,9.42
11.29,2.8,7.22,1.7,8.33,0.6,9.43
11.33,2.79,7.22,1.69,8.33,0.58,9.43
11.38,2.78,7.22,1.67,8.33,0.56,9.43
11.42,2.77,7.27,1.64,8.39,0.52,9.51
11.46,2.75,7.38,1.6,8.54,0.44,9.69
11.5,2.82,7.48,1.65,8.65,0.49,9.82
11.54,2.89,7.59,1.72,8.77,0.54,9.94
11.58,2.92,7.69,1.73,8.89,0.53,10.08
11.63,2.93,7.77,1.71,8.98,0.5,10.2
11.67,2.95,7.77,1.75,8.97,0.55,10.18
11.71,2.97,7.74,1.78,8.93,0.58,10.12
11.75,2.97,7.67,1.79,8.84,0.62,10.02
11.79,2.97,7.62,1.81,8.78,0.65,9.94
11.83,2.98,7.54,1.84,8.68,0.69,9.82
11.88,2.97,7.5,1.84,8.64,0.7,9.77
11.92,2.98,7.45,1.86,8.57,0.74,9.69
11.96,2.99,7.4,1.88,8.51,0.78,9.61
12.0,2.98,7.38,1.88,8.48,0.78,9.57
12.04,2.97,7.35,1.88,8.44,0.78,9.53
12.08,2.95,7.32,1.85,8.41,0.76,9.51
12.13,2.92,7.29,1.83,8.39,0.74,9.48
12.17,2.9,7.27,1.81,8.36,0.72,9.46
12.21,2.89,7.25,1.8,8.34,0.71,9.43
12.25,2.88,7.25,1.79,8.34,0.69,9.43
12.29,2.84,7.24,1.74,8.34,0.64,9.44
12.33,2.83,7.23,1.73,8.33,0.64,9.43
12.38,2.82,7.23,1.72,8.33,0.62,9.44
12.42,2.8,7.29,1.67,8.41,0.55,9.54
12.46,2.77,7.41,1.61,8.57,0.45,9.73
12.5,2.84,7.52,1.67,8.7,0.49,9.87
12.54,2.9,7.63,1.72,8.82,0.54,10
12.58,2.92,7.74,1.72,8.94,0.52,10.14
12.63,2.92,7.81,1.7,9.03,0.48,10.25
12.67,2.96,7.8,1.75,9.01,0.54,10.22
12.71,2.97,7.76,1.77,8.96,0.58,10.16
12.75,2.97,7.69,1.79,8.87,0.62,10.05
12.79,2.99,7.63,1.82,8.79,0.66,9.96
12.83,2.99,7.55,1.85,8.69,0.71,9.83
12.88,2.99,7.52,1.86,8.65,0.73,9.78
12.92,3,7.46,1.88,8.58,0.77,9.69
12.96,3.01,7.42,1.9,8.52,0.8,9.62
13.0,3,7.38,1.91,8.48,0.81,9.58
13.04,2.99,7.35,1.9,8.44,0.82,9.53
13.08,2.97,7.32,1.88,8.41,0.79,9.5
13.13,2.94,7.3,1.86,8.38,0.77,9.47
13.17,2.92,7.28,1.83,8.37,0.74,9.46
13.21,2.9,7.26,1.8,8.35,0.71,9.45
13.25,2.88,7.26,1.79,8.35,0.7,9.44
13.29,2.84,7.25,1.74,8.35,0.64,9.45
13.33,2.84,7.24,1.73,8.34,0.63,9.44
13.38,2.82,7.24,1.71,8.34,0.61,9.45
13.42,2.79,7.3,1.67,8.42,0.54,9.55
13.46,2.77,7.42,1.6,8.58,0.44,9.74
13.5,2.81,7.54,1.62,8.72,0.44,9.9
13.54,2.86,7.65,1.66,8.85,0.46,10.05
13.58,2.87,7.75,1.65,8.98,0.43,10.2
13.63,2.88,7.83,1.64,9.07,0.4,10.3
13.67,2.91,7.82,1.68,9.05,0.45,10.27
13.71,2.92,7.79,1.71,9,0.49,10.22
13.75,2.93,7.71,1.73,8.91,0.53,10.11
13.79,2.94,7.66,1.76,8.84,0.58,10.02
13.83,2.94,7.58,1.78,8.74,0.62,9.9
13.88,2.94,7.55,1.79,8.7,0.64,9.85
13.92,2.95,7.5,1.81,8.64,0.67,9.77
13.96,2.94,7.45,1.81,8.58,0.69,9.71
14.0,2.94,7.42,1.82,8.54,0.7,9.67
14.04,2.92,7.38,1.81,8.5,0.69,9.62
14.08,2.9,7.35,1.78,8.47,0.67,9.58
14.13,2.86,7.33,1.74,8.45,0.62,9.56
14.17,2.81,7.32,1.69,8.44,0.56,9.57
14.21,2.79,7.3,1.66,8.43,0.53,9.56
14.25,2.78,7.29,1.65,8.42,0.52,9.55
14.29,2.74,7.28,1.61,8.41,0.47,9.55
14.33,2.74,7.26,1.61,8.39,0.48,9.52
14.38,2.71,7.26,1.58,8.39,0.44,9.53
14.42,2.68,7.31,1.52,8.47,0.37,9.63
14.46,2.65,7.43,1.45,8.63,0.25,9.83
14.5,2.68,7.56,1.46,8.78,0.24,10
14.54,2.71,7.68,1.47,8.92,0.23,10.16
14.58,2.71,7.79,1.45,9.05,0.18,10.32
14.63,2.72,7.86,1.43,9.15,0.15,10.43
14.67,2.76,7.84,1.49,9.11,0.22,10.38
14.71,2.78,7.81,1.52,9.06,0.26,10.32
14.75,2.77,7.74,1.53,8.99,0.28,10.23
14.79,2.76,7.7,1.53,8.94,0.29,10.17
14.83,2.78,7.63,1.56,8.84,0.35,10.06
14.88,2.78,7.6,1.57,8.8,0.37,10
14.92,2.79,7.54,1.6,8.73,0.41,9.92
14.96,2.79,7.5,1.61,8.68,0.43,9.85
15.0,2.36,7.23,1.15,8.44,-0.07,9.66
15.04,2.35,7.2,1.14,8.41,-0.07,9.62
15.08,2.34,7.17,1.14,8.38,-0.07,9.58
15.13,2.31,7.14,1.11,8.35,-0.1,9.56
15.17,2.29,7.12,1.09,8.33,-0.12,9.54
15.21,2.25,7.12,1.04,8.33,-0.18,9.55
15.25,2.25,7.1,1.04,8.31,-0.17,9.53
15.29,2.22,7.09,1,8.31,-0.21,9.53
15.33,2.21,7.08,0.99,8.29,-0.23,9.51
15.38,2.2,7.08,0.98,8.3,-0.25,9.52
15.42,2.17,7.13,0.93,8.37,-0.3,9.61
15.46,2.17,7.23,0.9,8.5,-0.36,9.76
15.5,2.2,7.33,0.92,8.61,-0.36,9.89
15.54,2.24,7.43,0.94,8.72,-0.35,10.02
15.58,2.25,7.52,0.93,8.83,-0.39,10.15
15.63,2.27,7.56,0.94,8.89,-0.38,10.21
15.67,2.3,7.56,0.99,8.88,-0.32,10.19
15.71,2.33,7.51,1.04,8.81,-0.26,10.11
15.75,2.35,7.44,1.08,8.71,-0.19,9.99
15.79,2.34,7.39,1.08,8.65,-0.19,9.92
15.83,2.34,7.34,1.1,8.59,-0.15,9.83
15.88,2.33,7.31,1.08,8.55,-0.16,9.79
15.92,2.33,7.27,1.1,8.5,-0.14,9.73
15.96,2.33,7.23,1.11,8.45,-0.12,9.68
16.0,2.33,7.2,1.11,8.41,-0.1,9.63
16.04,2.32,7.17,1.1,8.38,-0.11,9.6
16.08,2.3,7.14,1.09,8.35,-0.12,9.56
16.13,2.28,7.12,1.07,8.33,-0.14,9.54
16.17,2.25,7.1,1.04,8.31,-0.17,9.52
16.21,2.22,7.09,1,8.31,-0.22,9.52
16.25,2.21,7.07,0.99,8.29,-0.22,9.51
16.29,2.18,7.06,0.96,8.28,-0.26,9.5
16.33,2.17,7.05,0.95,8.27,-0.27,9.49
16.38,2.16,7.05,0.93,8.27,-0.29,9.5
16.42,2.14,7.1,0.9,8.35,-0.34,9.59
16.46,2.14,7.2,0.88,8.47,-0.39,9.73
16.5,2.17,7.3,0.89,8.59,-0.39,9.87
16.54,2.21,7.4,0.91,8.7,-0.39,10
16.58,2.22,7.49,0.9,8.81,-0.42,10.13
16.63,2.24,7.54,0.91,8.86,-0.42,10.19
16.67,2.27,7.54,0.96,8.85,-0.36,10.17
16.71,2.29,7.49,0.99,8.79,-0.31,10.09
16.75,2.32,7.41,1.05,8.68,-0.23,9.95
16.79,2.29,7.37,1.02,8.64,-0.25,9.91
16.83,2.3,7.31,1.05,8.56,-0.2,9.81
16.88,2.27,7.28,1.02,8.53,-0.23,9.78
16.92,2.29,7.23,1.05,8.47,-0.18,9.71
16.96,2.29,7.2,1.06,8.42,-0.16,9.65
17.0,2.29,7.17,1.07,8.39,-0.15,9.61
17.04,2.27,7.14,1.06,8.36,-0.16,9.57
17.08,2.27,7.11,1.06,8.32,-0.15,9.53
17.13,2.24,7.09,1.02,8.3,-0.19,9.52
17.17,2.22,7.06,1.01,8.27,-0.19,9.48
17.21,2.17,7.06,0.95,8.29,-0.27,9.51
17.25,2.18,7.04,0.97,8.25,-0.24,9.47
17.29,2.16,7.03,0.94,8.25,-0.28,9.47
17.33,2.15,7.01,0.93,8.23,-0.29,9.45
17.38,2.14,7.02,0.92,8.24,-0.3,9.46
17.42,2.13,7.07,0.89,8.31,-0.35,9.54
17.46,2.13,7.17,0.88,8.43,-0.38,9.69
17.5,2.16,7.27,0.89,8.54,-0.39,9.82
17.54,2.19,7.37,0.9,8.66,-0.4,9.96
17.58,2.19,7.46,0.87,8.78,-0.44,10.1
17.63,2.21,7.51,0.88,8.84,-0.45,10.17
17.67,2.25,7.5,0.93,8.82,-0.38,10.13
17.71,2.27,7.46,0.97,8.76,-0.33,10.06
17.75,2.3,7.38,1.03,8.65,-0.24,9.92
17.79,2.27,7.34,1,8.6,-0.26,9.87
17.83,2.28,7.28,1.03,8.53,-0.22,9.78
17.88,2.26,7.25,1.02,8.5,-0.23,9.74
17.92,2.28,7.21,1.04,8.44,-0.19,9.68
17.96,2.28,7.17,1.05,8.4,-0.17,9.62
18.0,2.28,7.14,1.06,8.36,-0.16,9.58
18.04,2.26,7.12,1.05,8.33,-0.17,9.54
18.08,2.25,7.09,1.04,8.3,-0.16,9.51
18.13,2.23,7.07,1.02,8.28,-0.19,9.49
18.17,2.21,7.05,1,8.26,-0.21,9.47
18.21,2.17,7.04,0.95,8.26,-0.27,9.47
18.25,2.16,7.03,0.95,8.24,-0.27,9.46
18.29,2.14,7.02,0.92,8.24,-0.3,9.45
18.33,2.13,7,0.91,8.22,-0.31,9.44
18.38,2.11,7.01,0.89,8.24,-0.34,9.46
18.42,2.1,7.06,0.85,8.31,-0.39,9.55
18.46,2.1,7.16,0.83,8.43,-0.43,9.7
18.5,2.14,7.26,0.85,8.54,-0.43,9.83
18.54,2.16,7.36,0.86,8.67,-0.45,9.97
18.58,2.16,7.45,0.84,8.78,-0.48,10.1
18.63,2.18,7.5,0.85,8.83,-0.48,10.16
18.67,2.22,7.5,0.9,8.82,-0.42,10.14
18.71,2.24,7.45,0.94,8.76,-0.36,10.06
18.75,2.27,7.37,1,8.65,-0.28,9.92
18.79,2.25,7.32,0.99,8.59,-0.28,9.85
18.83,2.27,7.26,1.02,8.51,-0.23,9.76
18.88,2.25,7.23,1.01,8.47,-0.24,9.72
18.92,2.26,7.19,1.03,8.42,-0.2,9.65
18.96,2.26,7.15,1.04,8.38,-0.18,9.6
19.0,2.26,7.12,1.05,8.33,-0.17,9.55
19.04,2.25,7.1,1.04,8.31,-0.17,9.52
19.08,2.24,7.07,1.03,8.28,-0.17,9.48
19.13,2.22,7.05,1.01,8.25,-0.19,9.46
19.17,2.19,7.03,0.98,8.24,-0.23,9.45
19.21,2.16,7.02,0.94,8.23,-0.27,9.45
19.25,2.15,7.01,0.94,8.22,-0.27,9.43
19.29,2.12,7,0.9,8.22,-0.31,9.44
19.33,2.12,6.98,0.91,8.2,-0.31,9.41
19.38,2.1,6.99,0.87,8.21,-0.35,9.44
19.42,2.09,7.04,0.85,8.28,-0.39,9.52
19.46,2.09,7.15,0.82,8.41,-0.44,9.68
19.5,2.13,7.24,0.85,8.52,-0.43,9.8
19.54,2.14,7.34,0.84,8.64,-0.46,9.95
19.58,2.15,7.43,0.83,8.74,-0.48,10.06
19.63,2.17,7.48,0.85,8.8,-0.48,10.13
19.67,2.21,7.48,0.89,8.79,-0.42,10.11
19.71,2.24,7.43,0.95,8.73,-0.35,10.02
19.75,2.25,7.35,0.98,8.63,-0.3,9.9
19.79,2.25,7.3,0.99,8.56,-0.27,9.82
19.83,2.25,7.24,1.01,8.49,-0.24,9.73
19.88,2.24,7.21,1,8.45,-0.24,9.69
19.92,2.24,7.17,1.01,8.4,-0.22,9.63
19.96,2.25,7.14,1.03,8.36,-0.19,9.58
20.0,2.25,7.11,1.03,8.32,-0.18,9.54
20.04,2.23,7.08,1.02,8.29,-0.19,9.5
20.08,2.22,7.05,1.02,8.26,-0.19,9.47
20.13,2.2,7.03,1,8.24,-0.21,9.44
20.17,2.18,7.01,0.97,8.22,-0.24,9.43
20.21,2.14,7,0.93,8.21,-0.29,9.43
20.25,2.14,6.99,0.93,8.2,-0.28,9.41
20.29,2.11,6.98,0.89,8.19,-0.33,9.41
20.33,2.11,6.96,0.89,8.17,-0.32,9.38
20.38,2.08,6.96,0.85,8.19,-0.37,9.41
20.42,2.08,7.01,0.84,8.25,-0.39,9.48
20.46,2.07,7.12,0.8,8.39,-0.46,9.65
20.5,2.12,7.22,0.84,8.49,-0.43,9.77
20.54,2.12,7.32,0.82,8.62,-0.48,9.92
20.58,2.14,7.4,0.82,8.72,-0.5,10.04
20.63,2.15,7.46,0.83,8.79,-0.5,10.11
20.67,2.19,7.47,0.87,8.79,-0.45,10.1
20.71,2.22,7.42,0.93,8.72,-0.37,10.01
20.75,2.23,7.34,0.96,8.62,-0.32,9.89
20.79,2.23,7.28,0.97,8.54,-0.29,9.81
20.83,2.24,7.23,0.99,8.47,-0.26,9.72
20.88,2.23,7.19,0.99,8.43,-0.25,9.67
20.92,2.23,7.15,1,8.38,-0.23,9.61
20.96,2.24,7.12,1.01,8.34,-0.21,9.57
21.0,2.23,7.09,1.02,8.31,-0.2,9.52
21.04,2.22,7.07,1.01,8.28,-0.2,9.49
21.08,2.21,7.04,1.01,8.25,-0.2,9.46
21.13,2.19,7.02,0.99,8.22,-0.22,9.43
21.17,2.17,7,0.96,8.21,-0.25,9.42
21.21,2.13,6.99,0.92,8.2,-0.3,9.42
21.25,2.13,6.98,0.92,8.19,-0.3,9.4
