FRACHOURS, 2SIGMALO, 2SIGMAHI, 3SIGMALO, 3SIGMAHI, 4SIGMALO, 4SIGMAHI
11.79,-3.42,6.8,-5.98,9.36,-8.53,11.91
11.83,-3.58,6.63,-6.13,9.19,-8.69,11.74
11.88,-3.71,6.49,-6.26,9.04,-8.81,11.59
11.92,-3.82,6.35,-6.36,8.9,-8.9,11.44
11.96,-3.93,6.27,-6.48,8.82,-9.03,11.37
12.0,-4.03,6.23,-6.59,8.8,-9.16,11.36
12.04,-4.17,6.22,-6.76,8.82,-9.36,11.42
12.08,-4.29,6.19,-6.91,8.81,-9.53,11.43
12.13,-4.37,6.11,-6.99,8.73,-9.61,11.35
12.17,-4.5,6.1,-7.15,8.74,-9.79,11.39
12.21,-4.64,6.12,-7.33,8.81,-10.02,11.51
12.25,-4.79,6.18,-7.53,8.92,-10.27,11.66
12.29,-4.88,6.16,-7.64,8.92,-10.4,11.68
12.33,-4.93,6.14,-7.69,8.9,-10.46,11.67
12.38,-4.82,6.24,-7.58,9.01,-10.35,11.77
12.42,-4.42,6.49,-7.15,9.22,-9.87,11.95
12.46,-3.86,6.83,-6.53,9.5,-9.2,12.17
12.5,-3.38,7.3,-6.04,9.96,-8.71,12.63
12.54,-3.08,7.78,-5.8,10.5,-8.52,13.22
12.58,-2.98,8.09,-5.75,10.86,-8.52,13.63
12.63,-2.99,8.09,-5.76,10.85,-8.53,13.62
12.67,-3.08,7.86,-5.81,10.59,-8.55,13.33
12.71,-3.25,7.5,-5.94,10.19,-8.63,12.88
12.75,-3.45,7.17,-6.1,9.82,-8.76,12.48
12.79,-3.62,6.95,-6.26,9.6,-8.91,12.24
12.83,-3.8,6.81,-6.45,9.46,-9.1,12.11
12.88,-3.94,6.69,-6.6,9.34,-9.26,12
12.92,-4.06,6.56,-6.71,9.22,-9.36,11.87
12.96,-4.18,6.48,-6.85,9.15,-9.51,11.82
13.0,-4.3,6.48,-7,9.17,-9.7,11.87
13.04,-4.47,6.49,-7.21,9.24,-9.95,11.98
13.08,-4.61,6.48,-7.39,9.25,-10.16,12.02
13.13,-4.72,6.42,-7.5,9.2,-10.28,11.98
13.17,-4.86,6.41,-7.68,9.23,-10.5,12.04
13.21,-5.02,6.44,-7.88,9.3,-10.74,12.17
13.25,-5.17,6.49,-8.09,9.41,-11,12.33
13.29,-5.27,6.47,-8.21,9.41,-11.15,12.34
13.33,-5.33,6.44,-8.27,9.38,-11.22,12.32
13.38,-5.21,6.51,-8.14,9.44,-11.07,12.38
13.42,-4.78,6.74,-7.66,9.62,-10.54,12.5
13.46,-4.17,7.03,-6.97,9.84,-9.77,12.64
13.5,-3.64,7.46,-6.41,10.24,-9.19,13.01
13.54,-3.28,7.92,-6.09,10.72,-8.89,13.52
13.58,-3.15,8.21,-5.98,11.05,-8.82,13.89
13.63,-3.13,8.19,-5.97,11.02,-8.8,13.85
13.67,-3.2,7.95,-5.99,10.74,-8.78,13.53
13.71,-3.36,7.58,-6.1,10.32,-8.84,13.06
13.75,-3.57,7.24,-6.28,9.95,-8.98,12.65
13.79,-3.76,7.02,-6.45,9.71,-9.15,12.41
13.83,-3.95,6.87,-6.65,9.57,-9.35,12.28
13.88,-4.1,6.75,-6.82,9.46,-9.53,12.17
13.92,-4.22,6.61,-6.93,9.32,-9.64,12.03
13.96,-4.35,6.53,-7.07,9.24,-9.79,11.96
14.0,-4.42,6.28,-7.09,8.95,-9.76,11.63
14.04,-4.58,6.27,-7.3,8.99,-10.01,11.7
14.08,-4.73,6.25,-7.47,8.99,-10.22,11.74
14.13,-4.86,6.21,-7.62,8.98,-10.39,11.74
14.17,-4.99,6.19,-7.79,8.99,-10.59,11.79
14.21,-5.13,6.21,-7.96,9.04,-10.79,11.88
14.25,-5.25,6.24,-8.12,9.11,-10.99,11.99
14.29,-5.34,6.22,-8.23,9.11,-11.12,12
14.33,-5.4,6.19,-8.3,9.09,-11.2,11.99
14.38,-5.25,6.26,-8.12,9.13,-11,12.01
14.42,-4.81,6.49,-7.64,9.32,-10.47,12.14
14.46,-4.16,6.82,-6.9,9.56,-9.64,12.31
14.5,-3.62,7.32,-6.35,10.05,-9.09,12.78
14.54,-3.26,7.84,-6.04,10.61,-8.81,13.39
14.58,-3.15,8.23,-5.99,11.07,-8.84,13.91
14.63,-3.14,8.25,-5.99,11.1,-8.84,13.95
14.67,-3.22,8.07,-6.04,10.89,-8.86,13.71
14.71,-3.38,7.68,-6.14,10.45,-8.91,13.22
14.75,-3.56,7.24,-6.27,9.94,-8.97,12.64
14.79,-3.72,6.95,-6.39,9.61,-9.05,12.28
14.83,-3.87,6.74,-6.52,9.39,-9.17,12.04
14.88,-4.01,6.58,-6.65,9.22,-9.3,11.87
14.92,-4.13,6.44,-6.78,9.09,-9.42,11.73
14.96,-4.27,6.37,-6.93,9.03,-9.59,11.68
15.0,-4.44,6.35,-7.14,9.05,-9.84,11.75
15.04,-4.61,6.35,-7.35,9.09,-10.09,11.83
15.08,-4.76,6.34,-7.53,9.11,-10.31,11.88
15.13,-4.88,6.29,-7.68,9.09,-10.47,11.88
15.17,-5.02,6.27,-7.84,9.09,-10.66,11.91
15.21,-5.15,6.28,-8.01,9.14,-10.87,12
15.25,-5.28,6.31,-8.18,9.21,-11.08,12.11
15.29,-5.36,6.29,-8.28,9.21,-11.19,12.12
15.33,-5.43,6.27,-8.35,9.19,-11.27,12.12
15.38,-5.27,6.32,-8.16,9.21,-11.06,12.11
15.42,-4.84,6.55,-7.69,9.4,-10.54,12.25
15.46,-4.19,6.9,-6.96,9.67,-9.73,12.44
15.5,-3.63,7.37,-6.38,10.12,-9.13,12.87
15.54,-3.27,7.88,-6.06,10.67,-8.84,13.45
15.58,-3.16,8.26,-6.02,11.12,-8.88,13.97
15.63,-3.17,8.3,-6.04,11.17,-8.9,14.04
15.67,-3.26,8.12,-6.1,10.96,-8.94,13.8
15.71,-3.41,7.72,-6.19,10.5,-8.97,13.29
15.75,-3.6,7.27,-6.31,9.99,-9.03,12.7
15.79,-3.75,6.95,-6.42,9.63,-9.1,12.3
15.83,-3.89,6.73,-6.55,9.39,-9.2,12.04
15.88,-4.03,6.57,-6.68,9.22,-9.34,11.87
15.92,-4.15,6.43,-6.8,9.07,-9.44,11.72
15.96,-4.29,6.35,-6.95,9.01,-9.61,11.67
16.0,-4.46,6.34,-7.16,9.04,-9.86,11.74
16.04,-4.64,6.33,-7.38,9.08,-10.12,11.82
16.08,-4.78,6.31,-7.56,9.08,-10.33,11.85
16.13,-4.91,6.27,-7.71,9.06,-10.5,11.86
16.17,-5.04,6.25,-7.87,9.07,-10.69,11.9
16.21,-5.17,6.26,-8.03,9.12,-10.88,11.98
16.25,-5.31,6.3,-8.21,9.2,-11.11,12.1
16.29,-5.39,6.27,-8.31,9.19,-11.22,12.11
16.33,-5.46,6.25,-8.38,9.17,-11.31,12.1
16.38,-5.29,6.3,-8.19,9.2,-11.08,12.09
16.42,-4.86,6.53,-7.71,9.38,-10.56,12.23
16.46,-4.21,6.88,-6.98,9.65,-9.75,12.42
16.5,-3.63,7.32,-6.37,10.06,-9.1,12.8
16.54,-3.25,7.81,-6.02,10.58,-8.79,13.35
16.58,-3.14,8.2,-5.98,11.03,-8.81,13.87
16.63,-3.13,8.23,-5.97,11.07,-8.82,13.91
16.67,-3.22,8.05,-6.03,10.87,-8.85,13.68
16.71,-3.37,7.66,-6.13,10.42,-8.89,13.18
16.75,-3.56,7.2,-6.25,9.89,-8.94,12.57
16.79,-3.71,6.87,-6.36,9.51,-9.01,12.16
16.83,-3.87,6.64,-6.49,9.27,-9.12,11.89
16.88,-4.01,6.49,-6.64,9.12,-9.27,11.74
16.92,-4.14,6.36,-6.76,8.98,-9.38,11.6
16.96,-4.27,6.28,-6.91,8.91,-9.55,11.55
17.0,-4.44,6.27,-7.12,8.94,-9.8,11.62
17.04,-4.61,6.26,-7.33,8.98,-10.05,11.7
17.08,-4.77,6.25,-7.52,9,-10.28,11.75
17.13,-4.89,6.21,-7.67,8.99,-10.45,11.76
17.17,-5.03,6.19,-7.83,8.99,-10.63,11.79
17.21,-5.16,6.21,-8,9.05,-10.85,11.89
17.25,-5.29,6.24,-8.18,9.12,-11.06,12.01
17.29,-5.38,6.22,-8.28,9.12,-11.17,12.02
17.33,-5.44,6.2,-8.35,9.11,-11.26,12.02
17.38,-5.28,6.26,-8.16,9.14,-11.04,12.02
17.42,-4.85,6.49,-7.68,9.32,-10.51,12.16
17.46,-4.19,6.83,-6.94,9.59,-9.7,12.34
17.5,-3.6,7.29,-6.32,10.02,-9.04,12.74
17.54,-3.22,7.81,-5.98,10.57,-8.74,13.32
17.58,-3.12,8.22,-5.95,11.06,-8.79,13.9
17.63,-3.12,8.28,-5.97,11.13,-8.82,13.98
17.67,-3.21,8.11,-6.04,10.94,-8.87,13.77
17.71,-3.37,7.72,-6.14,10.49,-8.91,13.26
17.75,-3.55,7.24,-6.25,9.94,-8.95,12.64
17.79,-3.7,6.91,-6.36,9.57,-9.01,12.22
17.83,-3.85,6.68,-6.48,9.31,-9.12,11.95
17.88,-3.99,6.51,-6.62,9.14,-9.25,11.76
17.92,-4.12,6.38,-6.74,9,-9.36,11.62
17.96,-4.25,6.29,-6.89,8.93,-9.53,11.57
18.0,-4.42,6.28,-7.1,8.96,-9.78,11.63
18.04,-4.59,6.27,-7.31,8.99,-10.03,11.71
18.08,-4.74,6.26,-7.49,9.01,-10.24,11.76
18.13,-4.87,6.22,-7.64,8.99,-10.41,11.76
18.17,-5,6.19,-7.8,8.99,-10.59,11.79
18.21,-5.13,6.21,-7.97,9.04,-10.8,11.88
18.25,-5.26,6.24,-8.13,9.12,-11.01,11.99
18.29,-5.34,6.22,-8.23,9.11,-11.12,12
18.33,-5.39,6.2,-8.29,9.1,-11.19,11.99
18.38,-5.22,6.25,-8.08,9.12,-10.95,11.98
18.42,-4.78,6.49,-7.6,9.3,-10.41,12.12
18.46,-4.12,6.84,-6.86,9.58,-9.6,12.32
18.5,-3.53,7.32,-6.24,10.03,-8.95,12.74
18.54,-3.15,7.84,-5.9,10.59,-8.65,13.33
18.58,-3.06,8.27,-5.89,11.1,-8.72,13.93
18.63,-3.08,8.35,-5.94,11.21,-8.8,14.07
18.67,-3.17,8.18,-6,11.01,-8.84,13.85
